"Series_reference","Period","Data_value","STATUS","UNITS","Subject","Group","Series_title_1","Series_title_2","Series_title_3"
"CPIM.SE901","1960.01",45.92346148,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.02",45.49863746,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.03",45.11629607,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.04",45.1587787,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.05",45.28622583,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.06",45.66856722,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.07",46.39076737,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.08",47.11296828,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.09",46.94303852,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.10",47.49530967,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.11",48.59985196,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1960.12",47.70772205,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.01",47.15545091,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.02",46.64566163,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.03",46.17835574,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.04",46.13587311,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.05",45.92346148,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.06",45.92346148,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.07",46.56069713,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.08",47.83516918,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.09",47.11296828,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.10",47.02800378,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.11",47.87765106,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1961.12",47.6227568,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.01",47.41034517,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.02",46.94303852,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.03",46.85807402,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.04",46.68814426,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.05",46.73062689,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.06",46.68814426,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.07",46.98552115,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.08",47.19793278,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
"CPIM.SE901","1962.09",47.24041541,"FINAL","Index","Consumers Price Index - CPI","Food Price Index Level 1 Groups for New Zealand Monthly","Food",NA,NA
